Номер заказа;Состав заказа;Дата заказа;Дата доставки;Пункт выдачи;ФИО клиента;Код для получения;Статус заказа;;;Состав заказа;;Заказ;Продукт;количсетво;;2;G598Y6
1;А112Т4, 2, G598Y6, 2;2022-05-15;2022-05-21;10;1;401;1;;1;А112Т4, 2, G598Y6, 2;;1;1;2;;3;F746E6
2;F746E6, 3, D830R5, 3;2022-05-16;2022-05-22;11;2;402;1;;2;F746E6, 3, D830R5, 3;;2;3;3;;4;D830R5
3;D648N7, 10, F735B6, 10;2022-05-17;2022-05-23;12;3;403;2;;3;D648N7, 10, F735B6, 10;;3;6;10;;5;B538G6
4;F937G4, 1, E324U7, 1;2022-05-18;2022-05-24;13;4;404;1;;4;F937G4, 1, E324U7, 1;;4;8;1;;6;D648N7
5;N483G5, 10, D038G6, 10;2022-05-19;2022-05-25;14;;405;1;;5;N483G5, 10, D038G6, 10;;5;11;10;;7;F735B6
6;G480F5, 2, C324S5, 2;2022-05-19;2022-05-25;15;;406;1;;6;G480F5, 2, C324S5, 2;;6;13;2;;8;F937G4
7;V312R4, 1, J4DF5E, 1;2022-05-21;2022-05-27;16;;407;2;;7;V312R4, 1, J4DF5E, 1;;7;15;1;;9;E324U7
8;G522B5, 3, K432G6, 3;2022-05-22;2022-05-28;17;;408;2;;8;G522B5, 3, K432G6, 3;;8;17;3;;10;G403T5
9;F047J7, 1, S374B5, 1;2022-05-23;2022-05-29;18;;409;1;;9;F047J7, 1, S374B5, 1;;9;23;1;;11;N483G5
10;N836R5, 5, D927K3, 5;2022-05-24;2022-05-30;19;;410;2;;10;N836R5, 5, D927K3, 5;;10;28;5;;12;D038G6
;;;;;;;;;;;;1;2;2;;13;G480F5
;;;;;;;;;;;;2;4;3;;14;C324S5
;;;;;;;;;;;;3;7;10;;1;А112Т4
;;;;;;;;;;;;4;9;1;;15;V312R4
;;;;;;;;;;;;5;12;10;;16;J4DF5E
;;;;;;;;;;;;6;14;2;;17;G522B5
;;;;;;;;;;;;7;16;1;;18;K432G6
;;;;;;;;;;;;8;18;3;;19;J532D4
;;;;;;;;;;;;9;24;1;;20;G873H4
;;;;;;;;;;;;10;29;5;;21;V423D4
