Артикул;Наименование ;Единица измерения;Стоимость;Размер максимально возможной скидки;Производитель;Поставщик;Категория товара;Действующая скидка;Кол-во на складе;Описание;Изображение;;;Производитель;;;Поставщик;;;Категория товара
А112Т4;Боксерская груша;шт.;778;30;1;1;1;5;6;Боксерская груша X-Match черная;А112Т4.jpg;;1;X-Match;;;1;;;Спортивный инвентарь
G598Y6;Спортивный мат;шт.;2390;15;2;2;1;2;16;Спортивный мат 100x100x10 см Perfetto Sport № 3 бежевый;G598Y6.jpg;;2;Perfetto Sport;;;Декатлон;;;2
F746E6;Шведская стенка;шт.;9900;10;3;2;1;3;5;Шведская стенка ROMANA Next, pastel;F746E6.jpg;;3;ROMANA Next;;;;;;
D830R5;Тренажер прыжков;шт.;1120;15;4;1;1;4;8;Тренажер для прыжков Moby Kids Moby-Jumper со счетчиком;D830R5.jpg;;4;Moby Kids;;;;;;
B538G6;Спортивный костюм;шт.;839;5;5;1;2;3;17;Спортивный костюм playToday (футболка + шорты);B538G6.jpg;;5;playToday;;;;;;
D648N7;Набор для хоккея;шт.;350;10;6;2;1;4;7;Набор для хоккея Совтехстром;D648N7.jpg;;6;Совтехстром;;;;;;
F735B6;Игровой набор;шт.;320;15;6;2;1;2;9;Игровой набор Совтехстром Кегли и шары;F735B6.jpg;;7;Abtoys;;;;;;
F937G4;Игровой набор;шт.;480;10;7;1;1;4;12;Набор Abtoys Бадминтон и теннис ;F937G4.jpg;;8;DFC;;;;;;
E324U7;Велотренажер;шт.;6480;25;8;1;1;5;5;Велотренажер двойной DFC B804 dual bike;E324U7.jpg;;9;Nordway;;;;;;
G403T5;Тюбинг;шт.;1450;15;9;1;1;4;13;Тюбинг Nordway, 73 см;G403T5.jpg;;10;Ridex;;;;;;
N483G5;Клюшка;шт.;1299;10;9;2;1;3;4;Клюшка Nordway NDW300 (2019/2020) SR лев. 19 150см;;;11;Salomon;;;;;;
D038G6;Лыжный комплект;шт.;3000;30;9;2;1;4;23;Лыжный комплект беговые NORDWAY XC Classic, 45-45-45мм, 160см;;;12;Mikasa;;;;;;
G480F5;Ролики;шт.;1600;15;10;1;1;4;7;Коньки роликовые Ridex Cricket жен. ABEC 3 кол.:72мм р.:39-42 синий;;;13;Molten;;;;;;
C324S5;Шлем;шт.;4000;10;11;2;1;5;16;Шлем г.л./сноуб. Salomon Grom р.:KS черный (L40836800);;;14;Colton;;;;;;
V312R4;Мяч;шт.;4150;20;12;2;1;2;5;Мяч волейбольный MIKASA VT370W, для зала, 5-й размер, желтый/синий;;;15;Atemi;;;;;;
J4DF5E;Насос;шт.;300;5;13;1;1;4;12;Насос Molten HP-18-B для мячей мультиколор;;;16;Green Hill;;;;;;
G522B5;Ласты;шт.;1980;15;14;2;1;3;6;Ласты Colton CF-02 для плавания р.:33-34 серый/голубой;;;17;SKIF;;;;;;
K432G6;Шапочка для плавания;шт.;440;25;15;2;1;5;17;Шапочка для плавания Atemi PU 140 ткань с покрытием желтый;;;18;Starfit;;;;;;
J532D4;Перчатки для карате;шт.;1050;15;16;1;1;3;5;Перчатки для каратэ Green Hill KMС-6083 L красный;;;19;Bradex;;;;;;
G873H4;Велосипед;шт.;14 930;5;17;1;1;4;6;"Велосипед SKIF 29 Disc (2021), горный (взрослый), рама: 17"", колеса: 29"", темно-серый";;;20;Demix;;;;;;
V423D4;Штанга;шт.;5600;10;18;2;1;3;8;Штанга Starfit BB-401 30кг пласт. черный ;;;;;;;;;;
K937A5;Гиря;шт.;890;5;18;2;1;4;10;Гиря Starfit ГМБ4 мягкое 4кг синий/оранжевый;;;;;;;;;;
F047J7;Коврик;шт.;720;15;19;1;1;5;11;Коврик Bradex для мягкой йоги дл.:1730мм ш.:610мм т.:3мм серый;;;;;;;;;;
S374B5;Ролик для йоги;шт.;700;10;19;1;1;3;12;Ролик для йоги Bradex Туба d=14см ш.:33см оранжевый;;;;;;;;;;
F687G5;Защита голени;шт.;1900;15;16;1;1;4;6;Защита голени GREEN HILL Panther, L, синий/черный;;;;;;;;;;
N892G6;Очки для плавания;шт.;500;5;15;2;1;5;14;Очки для плавания Atemi N8401 синий;;;;;;;;;;
D893W4;Мяч;шт.;900;5;20;1;1;2;5;Мяч футбольный DEMIX 1STLS1JWWW, универсальный, 4-й размер, белый/зеленый;;;;;;;;;;
N836R5;Коньки;шт.;2000;10;15;2;1;3;16;Коньки ATEMI AKSK01DXS, раздвижные, прогулочные, унисекс, 27-30, черный/зеленый;;;;;;;;;;
D927K3;Перчатки ;шт.;660;15;18;2;1;4;3;Перчатки Starfit SU-125 атлетические S черный;;;;;;;;;;
V392H7;Степ-платформа;шт.;4790;10;18;1;1;3;15;Степ-платформа Starfit SP-204 серый/черный;;;;;;;;;;
